method,precision,recall,f1,roc_auc,threshold,tp,fp,fn,tn,n_beats,anomaly_rate
Random Forest,0.8368484848484848,0.6331621423330888,0.7208938080818628,0.9479693318907476,0.7050879359480605,3452,673,2000,43567,49692,0.1097158496337438
XGBoost,0.6861286723689104,0.6768158473954512,0.6814404432132964,0.9397153930272945,0.873568286709451,3690,1688,1762,42552,49692,0.1097158496337438
Isolation Forest,0.3425463425463425,0.566030814380044,0.4268031256482954,0.8360357705054402,0.4781505025546446,3086,5923,2366,38317,49692,0.1097158496337438
Spectral features,0.297326668115627,0.5018341892883346,0.3734134024839634,0.773128639771194,1.7598838131431338,2736,6466,2716,37774,49692,0.1097158496337438
CUSUM (k=0.5),0.4102448887890361,0.3349229640498899,0.3687771382409371,0.6799411293232803,81.18191843646277,1826,2625,3626,41615,49692,0.1097158496337438
Z-score (10s window),0.6518467852257182,0.1747982391782832,0.2756725484524154,0.6146893914040537,4.679648408507917,953,509,4499,43731,49692,0.1097158496337438
One-Class SVM,0.2001846567063958,0.4374541452677916,0.2746746516181043,0.6873921999193355,-198.84173269784355,2385,9529,3067,34711,49692,0.1097158496337438
Random baseline,0.109734155463459,0.9955979457079972,0.1976801354771746,0.4995879583317302,0.0047413929118739,5428,44037,24,203,49692,0.1097158496337438
Z-score (1s window),0.1096357582484108,0.9965150403521644,0.1975384951006235,0.2744220064903103,1.5332234316614792,5433,44122,19,118,49692,0.1097158496337438
1D CNN autoencoder,0.2987577639751553,0.0882245047688921,0.1362220334182951,0.816242001127048,0.0047097053565084,481,1129,4971,43111,49692,0.1097158496337438
LSTM autoencoder,0.23393636930754835,0.06878209831254585,0.10630758327427356,0.702924930745258,2.083638954162597,375,1228,5077,43012,49692,0.10971584963374387
1D CNN autoencoder (trained on all beats),0.1059322033898305,0.0366837857666911,0.0544959128065395,0.7416216210949678,0.0027152858767658,200,1688,5252,42552,49692,0.1097158496337438
