record,leads,n_beats,N,S,V,F,Q
100,MLII/V5,2273,2239,33,1,0,0
101,MLII/V1,1865,1860,3,0,0,2
102,V5/V2,2187,99,0,4,0,2084
103,MLII/V2,2084,2082,2,0,0,0
104,V5/V2,2229,163,0,2,0,2064
105,MLII/V1,2572,2526,0,41,0,5
106,MLII/V1,2027,1507,0,520,0,0
107,MLII/V1,2137,0,0,59,0,2078
108,MLII/V1,1763,1740,4,17,2,0
109,MLII/V1,2532,2492,0,38,2,0
111,MLII/V1,2124,2123,0,1,0,0
112,MLII/V1,2539,2537,2,0,0,0
113,MLII/V1,1795,1789,6,0,0,0
114,V5/MLII,1879,1820,12,43,4,0
115,MLII/V1,1953,1953,0,0,0,0
116,MLII/V1,2412,2302,1,109,0,0
117,MLII/V2,1535,1534,1,0,0,0
118,MLII/V1,2278,2166,96,16,0,0
119,MLII/V1,1987,1543,0,444,0,0
121,MLII/V1,1863,1861,1,1,0,0
122,MLII/V1,2476,2476,0,0,0,0
123,MLII/V5,1518,1515,0,3,0,0
124,MLII/V4,1619,1536,31,47,5,0
200,MLII/V1,2601,1743,30,826,2,0
201,MLII/V1,1963,1635,128,198,2,0
202,MLII/V1,2136,2061,55,19,1,0
203,MLII/V1,2980,2529,2,444,1,4
205,MLII/V1,2656,2571,3,71,11,0
207,MLII/V1,1860,1543,107,210,0,0
208,MLII/V1,2955,1586,2,992,373,2
209,MLII/V1,3005,2621,383,1,0,0
210,MLII/V1,2650,2423,22,195,10,0
212,MLII/V1,2748,2748,0,0,0,0
213,MLII/V1,3251,2641,28,220,362,0
214,MLII/V1,2262,2003,0,256,1,2
215,MLII/V1,3363,3195,3,164,1,0
217,MLII/V1,2208,244,0,162,0,1802
219,MLII/V1,2154,2082,7,64,1,0
220,MLII/V1,2048,1954,94,0,0,0
221,MLII/V1,2427,2031,0,396,0,0
222,MLII/V1,2483,2274,209,0,0,0
223,MLII/V1,2605,2045,73,473,14,0
228,MLII/V1,2053,1688,3,362,0,0
230,MLII/V1,2256,2255,0,1,0,0
231,MLII/V1,1571,1568,1,2,0,0
232,MLII/V1,1780,398,1382,0,0,0
233,MLII/V1,3079,2230,7,831,11,0
234,MLII/V1,2753,2700,50,3,0,0
