beat_number,label,score,class
0,0,3.8951058095531943,normal
1,0,4.220889234429503,normal
2,0,4.148523767308296,normal
3,0,4.156606339458854,normal
4,0,4.163681246552665,normal
5,0,4.169066452983029,normal
6,0,4.1390803925515085,normal
7,0,4.087521496506155,normal
8,0,4.184426025088627,normal
9,0,4.1628790196025705,normal
10,0,4.145290019536489,normal
11,0,4.176732790301553,normal
12,0,4.149363717250342,normal
13,0,4.168448530005432,normal
14,0,4.139424011901371,normal
15,0,4.161558106259943,normal
16,0,4.1753376328613605,normal
17,0,4.114921605250155,normal
18,0,4.167415077858938,normal
19,0,4.174361266182184,normal
20,0,2.3029692207880093,normal
21,1,3.457826290759027,anomaly
22,0,4.0358263749538645,normal
23,0,4.03903002080824,normal
24,0,4.118824296334289,normal
25,0,4.132063896352328,normal
26,0,4.161123376186298,normal
27,0,4.109552932353178,normal
28,0,4.149214041608424,normal
29,0,2.348580520142759,normal
30,1,3.3416672022170086,anomaly
31,0,4.116394184844465,normal
32,0,4.067530901902985,normal
33,0,4.1428711830524865,normal
34,0,4.183221717095437,normal
35,0,4.1987898660792,normal
36,0,4.13115161936709,normal
37,0,4.182461472969471,normal
38,0,4.013240051192773,normal
39,0,4.188074167454401,normal
40,0,4.243299977161608,normal
41,0,4.168322450571004,normal
42,0,4.164206755758775,normal
43,0,4.25690733736717,normal
44,0,4.160627414846912,normal
45,0,4.13274787569724,normal
46,0,4.166101788709314,normal
47,0,2.459631503569462,normal
48,1,3.544980305895359,anomaly
49,0,4.052447830963896,normal
50,0,4.061122740810833,normal
51,0,4.134310577235498,normal
52,0,4.133003733047017,normal
53,0,4.115024909442017,normal
54,0,4.060788194061746,normal
55,0,4.139433537861182,normal
56,0,4.2782250928168155,normal
57,0,4.235214804044908,normal
58,0,4.163464408571551,normal
59,0,4.100095452212058,normal
60,0,4.22295853382083,normal
61,0,4.093557937624289,normal
62,0,4.194775000713027,normal
63,0,4.0778826187355595,normal
64,0,4.087335588530448,normal
65,0,4.127614082329564,normal
66,0,4.061801559426492,normal
67,0,4.126070192443804,normal
68,0,4.159698905259777,normal
69,0,4.145002598955888,normal
70,0,4.197197710716229,normal
71,0,4.1210256065237605,normal
72,0,4.145638652094215,normal
73,0,4.154159457640428,normal
74,0,4.146432991605632,normal
75,0,4.087767242246209,normal
76,0,4.1568974703028125,normal
77,0,4.126639102688407,normal
78,0,4.20808044427959,normal
79,0,4.086692208196046,normal
80,0,2.5907511132926673,normal
81,1,3.160631214683231,anomaly
82,0,3.975354365901787,normal
83,0,3.683777770917149,normal
84,0,4.181420708967212,normal
85,0,4.2231279669376525,normal
86,0,4.102451427539479,normal
87,0,4.193824958106289,normal
88,0,4.050150511173024,normal
89,0,4.173647472856561,normal
90,0,4.2199664767677465,normal
91,0,4.175172520061299,normal
92,0,4.156517198128094,normal
93,0,4.202046187968265,normal
94,0,2.432488300191236,normal
95,1,3.500245605611544,anomaly
96,0,4.005847417947911,normal
97,0,4.046751004053552,normal
98,0,4.130910152028824,normal
99,0,4.180255784129647,normal
100,0,4.1412159867571665,normal
101,0,4.195210009923712,normal
102,0,4.185259345754846,normal
103,0,4.183101525755995,normal
104,0,4.194425773570944,normal
105,0,4.046411919834346,normal
106,0,4.094471067412208,normal
107,0,4.15247997153881,normal
108,0,4.2117572302681925,normal
109,0,4.1792433723533025,normal
110,0,4.176510911371176,normal
111,0,4.124716346152863,normal
112,0,4.003518538370825,normal
113,0,4.120743455544972,normal
114,0,4.115170533040615,normal
115,0,4.139466763528436,normal
116,0,4.191538285964689,normal
117,0,4.030122980572383,normal
118,0,3.1424165474904195,normal
119,0,3.447668246379463,normal
120,0,4.2201839095125,normal
121,0,4.117874120694339,normal
122,0,4.093948776175007,normal
123,0,4.172609798037165,normal
124,0,4.139580782777304,normal
125,0,4.144592332561589,normal
126,0,4.068072642494074,normal
127,0,4.067801021825438,normal
128,0,4.180610222738486,normal
129,0,4.151245867769928,normal
